Age,EdLevel,Gender,MainBranch,YearsCode,YearsCodePro,PreviousSalary,ComputerSkills,Employed,codingLge,frontSkills,backFrame,db,deploy,tool,targetTask
>35,Undergraduate,Man,Dev,14,12,123228.0,7,0,1,1,1,1,0,1,0
<35,Undergraduate,Man,Dev,6,2,90000.0,14,0,1,1,1,1,1,1,0
<35,NoHigherEd,Man,NotDev,15,1,28308.0,10,0,1,0,0,1,1,1,0
<35,Master,Man,Dev,3,3,48644.0,9,0,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,12,5,54769.0,7,0,1,1,1,0,0,1,0
<35,Undergraduate,Man,Dev,7,5,45564.0,16,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,9,7,25428.0,20,1,1,1,1,1,1,1,0
<35,Master,Man,NotDev,20,12,29000.0,2,0,1,0,0,0,0,0,0
<35,Undergraduate,Man,Dev,10,6,170000.0,24,1,1,1,1,1,1,1,0
<35,Undergraduate,Woman,Dev,7,3,19728.0,22,1,1,1,1,1,1,1,1
<35,Undergraduate,Man,Dev,9,4,24132.0,8,0,1,1,0,1,1,0,0
<35,Other,Man,Dev,10,6,54804.0,20,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,9,4,70000.0,13,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,13,8,42432.0,13,1,1,1,0,1,1,1,1
>35,Master,Man,Dev,15,10,97288.0,13,1,1,1,1,1,1,1,0
<35,NoHigherEd,Man,Dev,8,2,40000.0,9,0,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,6,4,40212.0,30,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,8,4,15408.0,20,1,1,1,1,1,1,1,0
<35,Master,Man,Dev,7,6,54224.0,8,0,1,0,0,1,1,1,0
<35,Master,Man,Dev,11,7,81319.0,13,1,1,1,1,1,1,1,0
>35,Undergraduate,Man,NotDev,22,4,85000.0,5,0,1,0,0,1,0,1,0
<35,Undergraduate,Man,Dev,6,1,64859.0,17,1,1,1,1,1,1,1,0
>35,Master,Man,Dev,35,30,62268.0,15,1,1,1,1,1,1,1,1
<35,Other,Man,Dev,12,5,31750.0,18,1,1,1,1,1,1,1,0
<35,Master,Man,Dev,6,2,100000.0,17,1,1,1,1,0,1,1,0
<35,Undergraduate,Man,Dev,5,3,92000.0,14,0,1,0,1,1,1,1,0
<35,Undergraduate,Man,Dev,10,4,34591.0,15,0,1,0,1,1,1,1,0
>35,Other,Man,Dev,20,10,92500.0,23,1,1,1,1,1,1,1,1
